0      827
1      619
2      501
3      415
4      349
5      312
6      287
7      344
8      589
9     1046
10    1517
11    1825
12    1936
13    1872
14    1768
15    1650
16    1585
17    1628
18    1623
19    1638
20    1537
21    1399
22    1264
23    1114
Name: Departure_Hour, dtype: int64
